# NAME,VALUE
K1:VIS-ITMX_KALMAN_C_4_4,0.0
K1:VIS-ITMX_KALMAN_C_4_5,0.0
K1:VIS-ITMX_KALMAN_C_4_6,0.0
K1:VIS-ITMX_KALMAN_C_5_1,0.0
K1:VIS-ITMX_KALMAN_C_5_2,0.0
K1:VIS-ITMX_KALMAN_C_5_3,0.0
K1:VIS-ITMX_KALMAN_C_5_4,0.0
K1:VIS-ITMX_KALMAN_C_5_5,0.0
K1:VIS-ITMX_KALMAN_C_5_6,0.0
K1:VIS-ITMX_KALMAN_C_6_1,0.0
K1:VIS-ITMX_KALMAN_C_6_2,0.0
K1:VIS-ITMX_KALMAN_C_6_3,0.0
K1:VIS-ITMX_KALMAN_C_6_4,0.0
K1:VIS-ITMX_KALMAN_C_6_5,0.0
K1:VIS-ITMX_KALMAN_C_6_6,0.0
K1:VIS-ITMX_KALMAN_B_1_1,0.0
K1:VIS-ITMX_KALMAN_B_1_2,0.0
K1:VIS-ITMX_KALMAN_B_1_3,0.0
K1:VIS-ITMX_KALMAN_B_1_4,0.0
K1:VIS-ITMX_KALMAN_B_2_1,0.0
K1:VIS-ITMX_KALMAN_B_2_2,0.0
K1:VIS-ITMX_KALMAN_B_2_3,0.0
K1:VIS-ITMX_KALMAN_B_2_4,0.0
K1:VIS-ITMX_KALMAN_B_3_1,0.0
K1:VIS-ITMX_KALMAN_B_3_2,0.0
K1:VIS-ITMX_KALMAN_B_3_3,0.0
K1:VIS-ITMX_KALMAN_B_3_4,0.0
K1:VIS-ITMX_KALMAN_B_4_1,0.0
K1:VIS-ITMX_KALMAN_B_4_2,0.0
K1:VIS-ITMX_KALMAN_B_4_3,0.0
K1:VIS-ITMX_KALMAN_B_4_4,0.0
K1:VIS-ITMX_KALMAN_B_5_1,0.0
K1:VIS-ITMX_KALMAN_B_5_2,0.0
K1:VIS-ITMX_KALMAN_B_5_3,0.0
K1:VIS-ITMX_KALMAN_B_5_4,0.0
K1:VIS-ITMX_KALMAN_B_6_1,0.0
K1:VIS-ITMX_KALMAN_B_6_2,0.0
K1:VIS-ITMX_KALMAN_B_6_3,0.0
K1:VIS-ITMX_KALMAN_B_6_4,0.0
K1:VIS-ITMX_KALMAN_A_1_1,0.0
K1:VIS-ITMX_KALMAN_A_1_2,0.0
K1:VIS-ITMX_KALMAN_A_1_3,0.0
K1:VIS-ITMX_KALMAN_A_1_4,0.0
K1:VIS-ITMX_KALMAN_A_1_5,0.0
K1:VIS-ITMX_KALMAN_A_1_6,0.0
